# Second test
 -0.04683656  13.09631738
  0.06327602  14.28764933
  0.17092889  15.47328605
  0.27611163  16.65334643
  0.37881649  17.82795210
  0.47903809  18.99722694
  0.57677323  20.16129670
  0.67202064  21.32028873
  0.76478078  22.47433161
  0.85505564  23.62355489
  0.94284857  24.76808888
  1.02816413  25.90806436
  1.11100792  27.04361248
  1.19138645  28.17486450
  1.26930699  29.30195169
  1.34477749  30.42500517
  1.41780643  31.54415583
  1.48840269  32.65952985
  1.55657563  33.77126634
  1.62233480  34.87949019
  1.68568995  35.98433040
  1.74665095  37.08591539
  1.80522772  38.18437289
  1.86143018  39.27982996
  1.91526821  40.37241295
  1.96675154  41.46224749
  2.01588979  42.54945851
  2.06269235  43.63417017
  2.10716839  44.71650593
  2.14932682  45.79658853
  2.18917624  46.87454002
  2.22672494  47.95048175
  2.26198083  49.02453444
  2.29495147  50.09681812
  2.32564402  51.16745228
  2.35406521  52.23655576
  2.38021770  53.30424818
  2.40411529  54.37064468
  2.42575902  55.43586401
  2.44515384  56.50002307
  2.46230419  57.56323838
  2.47721403  58.62562608
  2.48988682  59.68730200
  2.50032552  60.74838169
  2.50853258  61.80898048
  2.51450992  62.86921351
  2.51825894  63.92919576
  2.51978055  64.98904214
  2.51907510  66.04886750
  2.51614192  67.10878423
  2.51098147  68.16891280
  2.50359186  69.22936474
  2.49397137  70.29025521
  2.48211775  71.35169951
  2.46802826  72.41381326
  2.45169983  73.47671237
  2.43312808  74.54051223
  2.41230992  75.60532956
  2.38923962  76.67128118
  2.36391145  77.73848360
  2.33632076  78.80705566
  2.30646114  79.87711470
  2.27432593  80.94877915
  2.23990813  82.02216794
  2.20320107  83.09740747
  2.16419590  84.17460839
  2.12288502  85.25389586
  2.07926008  86.33539167
  2.03331243  87.41921833
  1.98503319  88.50549904
  1.93441323  89.59435779
  1.88143082  90.68591694
  1.82609603  91.78030540
  1.76839068  92.87764770
  1.70830487  93.97807068
  1.64582868  95.08170197
  1.58095215  96.18866999
  1.51366531  97.29910389
  1.44395827  98.41313334
  1.37182140  99.53088831
  1.29724561 100.65249870
  1.22023041 101.77810164
  1.14074620 102.90780809
  1.05880901 104.04176174
  0.97439842 105.18009547
  0.88751581 106.32294955
  0.79814464 107.47043653
  0.70629978 108.62270286
  0.61197001 109.77986610
  0.51515421 110.94206131
  0.41582782 112.10941035
  0.31403266 113.28204865
  0.20977225 114.46010481
  0.10301749 115.64368400
 -0.00620037 116.83291456
 -0.11786835 118.02791409
 -0.23197126 119.22879649
 -0.34848629 120.43566605
 -0.46740249 121.64864197
 -0.58868588 122.86781294
 -0.71230548 124.09327544
 -0.83822906 125.32511317
 -0.96640925 126.56341005
 -1.09680796 127.80823958
 -1.22936675 129.05966148
 -1.36402525 130.31773207
 -1.50072530 131.58248402
 -1.63938680 132.85395675
 -1.77993138 134.13216357
 -1.92225805 135.41709813
 -1.13973136  -9.27858596
 -0.99391344  -7.97256983
 -0.84957813  -6.67329199
 -0.70683999  -5.38079924
 -0.56580390  -4.09511907
 -0.42656535  -2.81626501
 -0.28921124  -1.54423114
 -0.15382005  -0.27899834
 -0.02046242   0.97946533
  0.11079784   2.23120440
  0.23990474   3.47627389
  0.36680733   4.71473982
  0.49146173   5.94667618
  0.61382925   7.17216576
  0.73387630   8.39129839
  0.85157391   9.60417040
  0.96689741  10.81088381
  1.07982609  12.01154574
  1.19034285  13.20626772
  1.29843390  14.39516515
  1.40408844  15.57835678
  1.50729842  16.75596421
  1.60805824  17.92811148
  1.70636452  19.09492464
  1.80221589  20.25653142
  1.89561275  21.41306091
  1.98655709  22.56464324
  2.07505230  23.71140935
  2.16110304  24.85349074
  2.24471500  25.99101929
  2.32589486  27.12412704
  2.40465008  28.25294604
  2.48098880  29.37760824
  2.55491976  30.49824531
  2.62645215  31.61498861
  2.69559554  32.72796900
  2.76235949  33.83731223
  2.82675466  34.94315773
  2.88879099  36.04562962
  2.94847874  37.14485633
  3.00582821  38.24096563
  3.06084964  39.33408451
  3.11355318  40.42433924
  3.16394883  41.51185529
  3.21204640  42.59675738
  3.25785550  43.67916947
