X,Y,Polarity,Timestamp
64,68,0,25943467
85,101,1,25943513
74,73,0,25943514
80,70,0,25943538
94,63,0,25943581
78,71,0,25943587
78,112,1,25943626
78,112,1,25943627
96,87,1,25943640
96,87,1,25943641
96,87,1,25943642
76,72,0,25943711
58,64,0,25943723
106,56,0,25943734
85,102,1,25943736
37,49,0,25943774
84,68,0,25943790
81,69,0,25943828
111,53,0,25943850
25,41,0,25943910
119,51,1,25943934
100,59,0,25943982
17,37,0,25943992
70,85,1,25944022
70,85,1,25944023
15,117,1,25944045
15,117,1,25944046
15,117,1,25944047
110,54,0,25944066
113,60,1,25944139
89,96,1,25944146
93,63,0,25944180
70,72,0,25944221
113,52,0,25944257
70,123,1,25944288
116,56,1,25944345
90,95,1,25944351
54,61,0,25944377
63,67,0,25944385
61,66,0,25944388
90,65,0,25944416
74,72,0,25944439
82,69,0,25944441
52,60,0,25944450
72,120,1,25944481
38,50,0,25944492
15,115,1,25944539
88,66,0,25944569
80,109,1,25944642
80,109,1,25944643
80,109,1,25944644
80,109,1,25944645
27,42,0,25944657
108,55,0,25944682
41,52,0,25944698
120,48,0,25944721
28,57,0,25944730
46,55,0,25944738
111,61,1,25944744
111,61,1,25944745
89,65,0,25944786
116,48,1,25944831
107,70,1,25944834
80,107,1,25944863
55,62,0,25944965
95,62,0,25945028
45,55,0,25945087
67,70,0,25945100
38,79,0,25945169
79,70,0,25945182
113,61,1,25945293
77,113,1,25945304
77,113,1,25945305
77,113,1,25945307
65,118,1,25945351
68,71,0,25945353
65,118,1,25945354
101,59,0,25945362
22,39,0,25945367
69,71,0,25945394
113,57,1,25945471
44,54,0,25945549
66,112,1,25945588
66,112,1,25945589
66,126,1,25945630
66,126,1,25945631
66,126,1,25945632
30,44,0,25945633
106,56,0,25945668
28,43,0,25945687
28,43,0,25945688
28,43,0,25945689
28,43,0,25945691
60,65,0,25945750
75,113,1,25945755
116,51,0,25945779
100,81,1,25945807
104,57,0,25945809
104,75,1,25945821
75,116,1,25945827
114,56,1,25945838
86,67,0,25945870
67,126,1,25945915
114,59,1,25945934
73,73,0,25946005
116,55,1,25946039
112,53,0,25946048
80,108,1,25946050
80,108,1,25946051
43,90,0,25946058
65,124,1,25946089
33,68,0,25946143
67,127,1,25946152
91,64,0,25946228
15,119,1,25946230
15,119,1,25946231
65,126,1,25946259
110,65,1,25946278
71,73,0,25946360
64,126,1,25946364
53,111,0,25946385
53,111,0,25946386
18,35,0,25946408
96,85,1,25946417
96,85,1,25946418
84,68,0,25946482
66,113,1,25946495
66,113,1,25946496
66,113,1,25946497
73,119,1,25946576
73,119,1,25946577
13,127,0,25946591
70,87,1,25946602
70,87,1,25946603
70,87,1,25946604
70,87,1,25946605
29,59,0,25946609
61,66,0,25946612
108,69,1,25946618
21,38,0,25946623
88,66,0,25946691
48,57,0,25946720
94,62,0,25946730
102,58,0,25946808
19,37,0,25946842
38,50,0,25946849
49,58,0,25946851
99,82,1,25946855
99,82,1,25946856
99,82,1,25946857
31,45,0,25946873
31,45,0,25946874
31,45,0,25946875
31,45,0,25946876
31,45,0,25946878
31,45,0,25946879
31,45,0,25946880
31,45,0,25946881
31,45,0,25946883
82,69,0,25946914
108,55,0,25946919
93,46,1,25946926
103,58,0,25946948
85,68,0,25946982
110,54,0,25947017
47,56,0,25947053
99,60,0,25947069
106,72,1,25947149
95,62,0,25947164
118,53,1,25947172
115,58,1,25947233
55,62,0,25947372
75,73,0,25947373
114,52,0,25947377
79,109,1,25947381
78,71,0,25947383
69,123,1,25947390
69,123,1,25947392
69,123,1,25947393
58,64,0,25947418
51,59,0,25947440
40,51,0,25947449
35,72,0,25947464
33,46,0,25947472
79,71,0,25947473
42,53,0,25947482
80,70,0,25947547
45,55,0,25947578
108,66,1,25947601
72,72,0,25947650
105,57,0,25947706
93,63,0,25947716
96,87,1,25947731
96,87,1,25947732
97,85,1,25947733
87,99,1,25947773
87,99,1,25947774
87,99,1,25947775
87,99,1,25947776
77,72,0,25947809
76,72,0,25947818
74,117,1,25947823
74,117,1,25947824
74,117,1,25947825
28,43,0,25947855
109,67,1,25947859
67,104,1,25947899
67,104,1,25947900
67,104,1,25947901
90,65,0,25947918
111,64,1,25947947
87,66,0,25948014
39,51,0,25948028
56,63,0,25948157
24,40,0,25948190
74,73,0,25948227
111,54,0,25948260
86,67,0,25948425
102,75,1,25948443
46,109,0,25948481
71,80,1,25948562
71,80,1,25948564
101,59,0,25948674
116,51,0,25948690
62,42,1,25948799
32,46,0,25948832
32,46,0,25948833
32,46,0,25948834
117,50,0,25948835
50,59,0,25948844
71,79,1,25948869
41,52,0,25948882
96,62,0,25948889
68,126,1,25948955
110,66,1,25948959
81,70,0,25948962
81,70,0,25948963
26,42,0,25949021
110,52,0,25949023
119,49,0,25949024
65,69,0,25949033
65,69,0,25949034
65,69,0,25949035
65,69,0,25949036
65,69,0,25949038
65,69,0,25949039
103,75,1,25949051
94,63,0,25949057
68,71,0,25949087
112,53,0,25949110
68,70,0,25949113
92,64,0,25949114
64,68,0,25949119
20,38,0,25949126
77,68,0,25949128
49,58,0,25949160
18,37,0,25949163
113,53,0,25949167
84,68,0,25949170
97,61,0,25949190
70,122,1,25949199
70,122,1,25949200
76,115,1,25949201
71,73,0,25949222
72,119,1,25949235
62,66,0,25949255
54,61,0,25949264
109,55,0,25949271
57,63,0,25949278
61,66,0,25949284
93,91,1,25949291
70,72,0,25949331
107,56,0,25949347
53,91,0,25949397
103,58,0,25949433
48,57,0,25949460
108,69,1,25949479
110,53,0,25949492
117,51,0,25949507
101,80,1,25949510
118,50,0,25949515
78,71,0,25949538
62,67,0,25949633
98,61,0,25949705
87,67,0,25949711
34,47,0,25949727
103,77,1,25949757
36,49,0,25949778
59,65,0,25949963
37,49,0,25950060
67,70,0,25950070
114,51,0,25950071
52,60,0,25950081
90,65,0,25950111
58,64,0,25950132
22,39,0,25950134
43,54,0,25950234
83,69,0,25950244
77,72,0,25950277
73,74,0,25950338
105,57,0,25950552
87,100,1,25950621
87,100,1,25950622
87,100,1,25950623
87,100,1,25950624
99,60,0,25950632
33,47,0,25950663
33,47,0,25950664
63,68,0,25950684
82,69,0,25950704
104,58,0,25950746
88,68,0,25950775
55,62,0,25950780
79,71,0,25950788
35,48,0,25950802
35,48,0,25950803
35,48,0,25950804
79,69,0,25950814
72,74,0,25950825
94,90,1,25950845
94,90,1,25950846
94,90,1,25950847
94,90,1,25950848
102,59,0,25950881
44,54,0,25950934
66,70,0,25950970
117,55,1,25951063
26,42,0,25951075
100,60,0,25951076
81,70,0,25951090
95,89,1,25951103
95,89,1,25951104
95,89,1,25951105
20,38,0,25951159
73,118,1,25951183
73,118,1,25951184
73,118,1,25951185
113,118,0,25951215
88,98,1,25951242
88,98,1,25951243
88,98,1,25951244
93,64,0,25951255
46,56,0,25951278
69,72,0,25951297
65,69,0,25951314
31,45,0,25951319
86,100,1,25951389
29,44,0,25951423
29,44,0,25951424
29,44,0,25951425
29,44,0,25951426
49,58,0,25951462
53,61,0,25951507
15,114,1,25951537
15,114,1,25951538
15,114,1,25951539
40,52,0,25951610
109,55,0,25951629
90,96,1,25951691
90,96,1,25951692
90,96,1,25951693
92,64,0,25951697
115,52,0,25951715
22,44,1,25951725
88,66,0,25951765
75,73,0,25951793
71,121,1,25951822
71,121,1,25951823
71,121,1,25951824
68,125,1,25951844
68,125,1,25951846
68,125,1,25951847
94,63,0,25951849
94,63,0,25951850
94,63,0,25951851
89,97,1,25951854
89,97,1,25951855
89,97,1,25951857
64,125,1,25951878
13,115,0,25951946
86,67,0,25952013
87,67,0,25952094
68,71,0,25952194
85,68,0,25952196
112,63,1,25952259
111,54,0,25952263
109,48,1,25952310
42,53,0,25952343
107,56,0,25952399
47,57,0,25952449
84,69,0,25952497
0,20,0,25952500
56,63,0,25952514
105,74,1,25952517
33,68,1,25952524
89,66,0,25952566
25,41,0,25952571
81,108,1,25952573
36,49,0,25952600
15,113,1,25952606
15,113,1,25952607
15,113,1,25952608
71,122,1,25952631
97,86,1,25952665
97,86,1,25952666
97,86,1,25952667
72,74,0,25952715
23,39,0,25952737
59,65,0,25952803
50,59,0,25952804
79,111,1,25952875
79,111,1,25952876
62,67,0,25952877
53,111,1,25952879
